Unnamed: 0,day,day_id,id,mood,activity,circumplex.valence,circumplex.arousal,appCat.other,appCat.finance,appCat.social,appCat.travel,appCat.game,appCat.builtin,appCat.communication,call,appCat.unknown,appCat.office,appCat.weather,sms,appCat.entertainment,screen,appCat.utilities,target,wake_up,sleep,week_day,week_mood
1,2014-02-26,AS14.01_2014-02-26,AS14.01,6.25,0.11987814702814241,0.75,-0.25,-0.5796832987125587,-0.24994440994036543,-0.6585188773972591,-0.38167579245765193,-0.22533758328546688,-0.962692869896277,-1.0702787500812272,1.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,2.0,-0.6830451813610883,-1.1935569979185503,-0.27350470871951965,6.333333333333333,7.0,23.0,2,6.25
8,2014-03-21,AS14.01_2014-03-21,AS14.01,6.2,0.13405010398938863,0.2,0.2,0.5339531373339419,0.6131449741862166,2.31279083345864,3.63449026708433,-0.22533758328546688,2.166705830068646,1.8672956608086575,6.0,-0.25831629804055606,0.36929371396291377,-0.21270503804382399,0.0,0.3735786568274759,2.5624873652057687,3.894331723332565,6.4,0.0,21.0,4,6.225
13,2014-03-22,AS14.01_2014-03-22,AS14.01,6.4,0.23688021923995814,0.5375615090213232,0.6,-0.123811912387114,0.11721350746339372,-0.3687810863796256,-0.21801432196929532,-0.22533758328546688,-0.23355173929730502,1.3222719822675335,3.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,-0.5851666009812905,0.08962607876280461,0.7739023941691276,6.8,8.0,22.0,5,6.283333333333334
18,2014-03-23,AS14.01_2014-03-23,AS14.01,6.8,0.14274111580506366,0.8,0.2,-0.24142257745502776,0.506164675705647,-0.06482437398864932,-0.38167579245765193,-0.22533758328546688,0.3195298238558239,1.2391346589687426,0.0,-0.25831629804055606,-0.21596061839931938,1.4666892025523102,0.0,-0.5840947233383673,0.22159095883415444,-0.005590899982067689,6.0,9.0,23.0,6,6.4125000000000005
23,2014-03-24,AS14.01_2014-03-24,AS14.01,6.0,0.07896105611559796,0.0,0.8,-0.2705233206086802,0.3442047612008668,1.456547883631193,1.4600586564999825,-0.22533758328546688,-0.09844866024699814,2.778022611791415,10.0,-0.25831629804055606,-0.20573091943174382,-0.21270503804382399,0.0,0.3127044314810795,1.950044440442264,1.0668641700224029,6.75,8.0,22.0,0,6.33
28,2014-03-25,AS14.01_2014-03-25,AS14.01,6.75,0.09837411239050677,0.5,0.5,0.2509257659311725,0.5000848639209673,0.6065011563182301,-0.38167579245765193,-0.22533758328546688,0.0668446890006756,2.9867182593438764,0.0,2.0674309314984742,-0.21596061839931938,-0.21270503804382399,1.0,-0.6115104587454214,3.2929441052932464,1.7113424816985114,6.6,7.0,23.0,1,6.400000000000001
32,2014-03-26,AS14.01_2014-03-26,AS14.01,6.6,0.10130832167007592,0.6,-0.2,-0.12680791866550284,0.6616963651429578,1.996811271259473,-0.38167579245765193,-0.22533758328546688,0.2011522641507844,2.944786738394729,0.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,0.27186879559679944,2.237604038080064,0.023608374725440986,7.0,0.0,23.0,2,6.42857142857143
37,2014-03-27,AS14.01_2014-03-27,AS14.01,7.0,0.15951064096909748,0.8,0.2,-0.30780385764798024,0.48553860936449833,-0.042059600775300264,-0.17410364891962474,-0.22533758328546688,0.26278886333530455,1.8745471198693326,2.0,-0.25831629804055606,0.404112074734612,-0.21270503804382399,1.0,-0.012503909004143306,2.4503513434341375,1.3207365086060567,6.4,0.0,21.0,3,6.5357142857142865
42,2014-03-28,AS14.01_2014-03-28,AS14.01,6.4,0.09569802163712014,0.6,-0.6,0.4698525378893443,1.3033865287208408,-0.32059887907099444,4.588969402999859,0.5523350992584639,0.7822586391518174,-0.6491757815046647,5.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,0.0,0.3714254623060267,-0.1649714947060952,2.4132649060793168,8.0,10.0,23.0,4,6.564285714285714
47,2014-03-29,AS14.01_2014-03-29,AS14.01,8.0,0.06820281010186964,1.0,0.2,0.2080759086937512,-0.24994440994036543,-0.34686384655613145,-0.15163721304317723,-0.22533758328546688,0.9838294116122095,0.2140483525421149,4.0,-0.25831629804055606,-0.21596061839931938,-0.21270503804382399,1.0,1.0238087917745888,0.5451547851963736,4.974598028316578,7.5,8.0,23.0,5,6.792857142857143
