<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,10,3.2005527019500732,12.57114315032959,-18.686885833740234
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,20,1.9030368328094482,5.291040420532227,-7.2859697341918945
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,30,1.4336717128753662,3.249962568283081,-4.089563846588135
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,40,1.1567213535308838,2.32973313331604,-2.6484501361846924
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,50,0.9930927157402039,1.8237545490264893,-1.8560683727264404
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,60,0.8850423097610474,1.500733733177185,-1.350205659866333
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,70,0.8030049800872803,1.2686948776245117,-0.9868240356445312
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,80,0.7491735816001892,1.1162359714508057,-0.7480676174163818
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,90,0.7019448280334473,0.9952636957168579,-0.5586205720901489
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,100,0.6706981658935547,0.9040722846984863,-0.41581130027770996
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,110,0.6493178009986877,0.8332988619804382,-0.3049774169921875
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,120,0.6339772939682007,0.7824739217758179,-0.22538363933563232
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,130,0.621462345123291,0.7352453470230103,-0.1514219045639038
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,140,0.6138107180595398,0.7061403393745422,-0.1058424711227417
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,150,0.6079760789871216,0.6832200884819031,-0.06994843482971191
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,160,0.6080846786499023,0.6704527139663696,-0.04995429515838623
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,170,0.6074029803276062,0.6578250527381897,-0.03017890453338623
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,180,0.6080226302146912,0.6501680016517639,-0.018187642097473145
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,190,0.6088370084762573,0.6442420482635498,-0.008907437324523926
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,8,200,0.6116273999214172,0.64313805103302,-0.0071784257888793945
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,10,2.2963075637817383,7.078158855438232,-10.084663391113281
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,20,1.4147790670394897,3.160917282104492,-3.95011568069458
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,30,1.1954151391983032,2.353895425796509,-2.686289072036743
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,40,1.0591869354248047,1.89181649684906,-1.962656021118164
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,50,0.9504284858703613,1.5713443756103516,-1.460784673690796
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,60,0.8736416697502136,1.3405177593231201,-1.0993013381958008
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,70,0.8270129561424255,1.1856504678726196,-0.8567733764648438
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,80,0.7867611646652222,1.068532943725586,-0.6733628511428833
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,90,0.7634451985359192,0.9961336255073547,-0.5599828958511353
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,100,0.7479217648506165,0.9522486329078674,-0.49125730991363525
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,110,0.737611711025238,0.9234558343887329,-0.4461667537689209
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,120,0.7311655282974243,0.9051412343978882,-0.4174853563308716
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,130,0.7279711365699768,0.893528938293457,-0.39930009841918945
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,140,0.7314420938491821,0.8993372321128845,-0.40839600563049316
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,150,0.7334389090538025,0.9029318690299988,-0.41402530670166016
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,160,0.7375244498252869,0.9054741859436035,-0.4180067777633667
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,170,0.741987407207489,0.9108012318611145,-0.4263491630554199
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,180,0.746566653251648,0.9192479252815247,-0.4395768642425537
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,190,0.7524394392967224,0.9279422760009766,-0.45319271087646484
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,16,200,0.7557010650634766,0.9292266368865967,-0.4552038908004761
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,32,10,1.64481782913208,3.917294502258301,-5.1346306800842285
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,32,20,1.2180575132369995,2.3853321075439453,-2.7355198860168457
<class 'keras.src.layers.rnn.simple_rnn.SimpleRNN'>,32,30,1.0498815774917603,1.812857747077942,-1.839003562927246
